Using device:  cpu
title 265: 0.13
title 268: 0.13
title 132: 0.13
title 374: 0.13
title 154: 0.13
title 28: 0.13
title 393: 0.12
title 72: 0.12
title 231: 0.12
title 492: 0.12
title 367: 0.12
title 391: 0.12
title 257: 0.12
title 402: 0.12
title 270: 0.12
title 318: 0.12
title 242: 0.12
title 38: 0.12
title 213: 0.12
title 81: 0.12
title 87: 0.12
title 109: 0.12
title 107: 0.12
title 377: 0.12
title 176: 0.12
title 336: 0.12
title 143: 0.12
title 262: 0.12
title 106: 0.12
title 75: 0.12
title 128: 0.12
title 76: 0.12
title 416: 0.12
title 264: 0.12
title 314: 0.11
title 21: 0.11
title 452: 0.11
title 191: 0.11
title 155: 0.11
title 77: 0.11
title 413: 0.11
title 185: 0.11
title 295: 0.11
title 429: 0.11
title 453: 0.11
title 225: 0.11
title 439: 0.11
title 146: 0.11
title 174: 0.11
title 285: 0.11
title 241: 0.11
title 418: 0.11
title 156: 0.11
title 436: 0.11
title 24: 0.11
title 346: 0.11
title 258: 0.11
title 447: 0.11
title 395: 0.11
title 192: 0.11
title 116: 0.11
title 323: 0.11
title 80: 0.11
title 344: 0.11
title 83: 0.11
title 115: 0.11
title 360: 0.11
title 483: 0.11
title 2: 0.11
title 495: 0.11
title 499: 0.11
title 235: 0.11
title 369: 0.11
title 238: 0.11
title 463: 0.11
title 362: 0.11
title 400: 0.11
title 401: 0.11
title 158: 0.11
title 209: 0.11
title 305: 0.11
title 45: 0.11
title 455: 0.11
title 86: 0.11
title 219: 0.11
title 284: 0.11
title 434: 0.11
title 150: 0.11
title 79: 0.11
title 123: 0.11
title 476: 0.11
title 405: 0.11
title 228: 0.11
title 491: 0.11
title 36: 0.11
title 248: 0.11
title 364: 0.11
title 173: 0.11
title 403: 0.11
title 216: 0.11
title 303: 0.11
title 333: 0.11
title 478: 0.11
title 199: 0.11
title 454: 0.11
title 441: 0.11
title 357: 0.11
title 319: 0.11
title 456: 0.11
title 181: 0.11
title 157: 0.11
title 3: 0.11
title 206: 0.11
title 169: 0.11
title 167: 0.11
title 297: 0.11
title 51: 0.11
title 69: 0.11
title 236: 0.11
title 275: 0.11
title 124: 0.11
title 307: 0.11
title 232: 0.11
title 404: 0.11
title 310: 0.11
title 188: 0.11
title 134: 0.11
title 423: 0.11
title 237: 0.11
title 291: 0.11
title 390: 0.11
title 253: 0.11
title 43: 0.11
title 244: 0.11
title 246: 0.11
title 378: 0.11
title 187: 0.11
title 417: 0.11
title 102: 0.11
title 293: 0.11
title 451: 0.11
title 204: 0.11
title 39: 0.11
title 341: 0.11
title 144: 0.1
title 58: 0.1
title 330: 0.1
